影视,#genre#
金鹰卡通,http://223.75.149.129:9906/tsfile/live/1002_1.m3u8
卡酷少儿,http://107.150.60.122/live/btvkk.m3u8
卡酷少儿,http://38.75.136.137:98/gslb/dsdqpub/btvkk.m3u8?auth=testpub
浙江少儿,https://ali-xwl.cztv.com/live/channel081080Plxw.m3u8
浙江少儿,https://ali-xwl.cztv.com/live/channel081080Pnew.m3u8
山东少儿,http://1.94.31.214/live/live9/channel/js/k-web/PLTV/ku9/js/shandongsd.js?key=关注公共号❤️❤️：AI科技生活&id=sepd&channelid=17
内蒙古少儿,http://123.207.224.130:123/neimeng/neimeng.php?id=nmse
深圳少儿,http://123.207.224.130:123/guangdong/shenzhen.php?id=szse
深圳少儿,http://120.233.73.4:19901/tsfile/live/1035_1.m3u8
深圳少儿,http://nn.7x9d.cn/深圳最新.php?id=szse
济南少儿,http://123.207.224.130:123/shandong/jinan.php?id=2234
哈哈炫动,http://38.75.136.137:98/gslb/dsdqpub/xdkthd.m3u8?auth=testpub
广东少儿,http://38.75.136.137:98/gslb/dsdqpub/gdtvs5.m3u8?auth=testpub
江西少儿,http://107.150.60.122/live/jxtv6.m3u8
梦工场动漫,http://iptv.4666888.xyz/iptv2A.php?id=40
Duck TV,http://iptv.4666888.xyz/iptv2A.php?id=39
MOMO亲子台,http://iptv.4666888.xyz/iptv2A.php?id=49
IQIYI,https://o11.163189.xyz/stream/live/iqiyi/
IQIYI,http://iptv.4666888.xyz/iptv2A.php?id=21
PopC,http://mytvsuper.webn.cc:2052/stream/mytv/popc/master.m3u8?u=yhy&p=447c04d6fbd1b6db532939627946d3ee4532fbe69a842ccfe439df51e0fff326
经典电影,http://61.163.181.78:85/tsfile/live/1059_1.m3u8?key=txiptv
CHC动作电影,http://69.30.245.50/live/chcdz.m3u8
CHC动作电影,http://38.75.136.137:98/gslb/dsdqpub/chcdz.m3u8?auth=testpub
CHC家庭影院,http://69.30.245.50/live/chcjt.m3u8
CHC家庭影院,http://38.75.136.137:98/gslb/dsdqpub/chcjt.m3u8?auth=testpub
CHC影迷电影,http://38.75.136.137:98/gslb/dsdqpub/chchd.m3u8?auth=testpub
中国电影,http://iptv.4666888.xyz/iptv2A.php?id=61
靖天电影,http://iptv.4666888.xyz/iptv2A.php?id=56
天映频道,https://cdn10.163189.xyz/stream/163189/typd/
龙华电影,http://cdn8.163189.xyz/163189/lhdy
龙华电影,http://rihou.cc:555/tv/[Pd]龙华电影
龙华经典,http://cdn8.163189.xyz/163189/lhjd
龙华经典,http://rihou.cc:555/tv/[Pd]龙华经典
龙华戏剧,http://cdn8.163189.xyz/163189/lhxj
龙华戏剧,http://rihou.cc:555/tv/[Pd]龙华戏剧
龙华偶像,http://cdn8.163189.xyz/163189/lhox
龙华偶像,http://rihou.cc:555/tv/[Pd]龙华偶像
龙华日韩,http://cdn8.163189.xyz/163189/lhrh
龙华日韩,http://rihou.cc:555/tv/[Pd]龙华日韩
龙华洋片,http://iptv.4666888.xyz/iptv2A.php?id=60
邵氏动作,http://63.141.230.178/live/lbssdz.m3u8
邵氏喜剧,http://63.141.230.178/live/lbssxj.m3u8
邵氏武侠,http://63.141.230.178/live/lbsswx.m3u8
邵氏动作,http://rihou.cc:555/tv/[FY]邵氏动作
邵氏喜剧,http://rihou.cc:555/tv/[FY]邵氏喜剧
邵氏武侠,http://rihou.cc:555/tv/[FY]邵氏武侠
邵氏电影,http://rihou.cc:555/tv/[FY]邵氏电影
邵氏动作,http://feilong123.vip/409990236/tv.php?id=ssdz
邵氏喜剧,http://feilong123.vip/409990236/tv.php?id=ssxj
邵氏武侠,http://feilong123.vip/409990236/tv.php?id=sswx
邵氏电影,http://feilong123.vip/409990236/tv.php?id=ssdy
邵氏动作,http://38.75.136.137:98/gslb/dsdqpub/lbssdz.m3u8?auth=testpub
邵氏喜剧,http://38.75.136.137:98/gslb/dsdqpub/lbssxj.m3u8?auth=testpub
邵氏武侠,http://38.75.136.137:98/gslb/dsdqpub/lbsswx.m3u8?auth=testpub
邵氏电影,http://38.75.136.137:98/gslb/dsdqpub/lbssdy.m3u8?auth=testpub
华语剧台,http://iptv.4666888.xyz/iptv2A.php?id=24
Y+剧场,http://hms3659nc3747353871.live.aikan.miguvideo.com/PLTV/88888888/224/3221230226/1.m3u8?tenantId=8601&accountinfo=~~V2.0~SSxnh2gPZaV_9wZMz86ofwc38bf04ecfc078f584095a9c6e91b9e1~3twbaBwUaqzfkJ5qW9C0gp1C11OJXhanim-P8XrfoHFX-jV3R0FL2wbo-VR8pOhzd5938d01ed8f640cebb709a281e7b1d3~ExtInfo9W1qynAo8QtSBzK-JlHBbQ3bb1f3410d135b117fdf58086980a86d:20240603131532:UTC,c864060416ccf5986b3e5940417477879245774,117.148.130.144,20240603131532,4444444684,c864060416ccf5986b3e5940417477879245774,-1,0,1,,,2,1000000201,,,2,23,0,241,9ec0a2dcdcfd4259318d50a38cde552c,,,1,1,140151867
靖洋戏剧,http://iptv.4666888.xyz/iptv2A.php?id=42
重温经典,http://abc.sohu.blog/cwjd.php
重温经典,http://cdn6.163189.xyz/163189/cwjd
重温经典,http://rihou.cc:555/tv/[Pd]重温经典
重温经典,http://69.30.246.194/live/cwjd.m3u8
重温经典,http://38.75.136.137:98/gslb/dsdqpub/cwjd.m3u8?auth=testpub
重温经典,https://php.jdshipin.com:2096/TVOD/iptv.php?id=cwjd
经典影视,http://wonder998.x3322.net:6200/udp/239.253.254.81:8000
广西影视,http://107.150.60.122/live/gxys.m3u8
深圳电视剧,http://123.207.224.130:123/guangdong/shenzhen.php?id=szdsj
深圳电视剧,http://120.233.73.4:19901/tsfile/live/1036_1.m3u8
深圳电视剧,http://nn.7x9d.cn/深圳最新.php?id=szdsj
周星驰,http://107.150.60.122/live/lbzxc.m3u8
周星驰,http://63.141.230.178/live/lbzxc.m3u8
周星驰,http://38.75.136.137:98/gslb/dsdqpub/lbzxc.m3u8?auth=testpub
周星星,http://63.141.230.178/live/hyzxc.m3u8
刘德华,http://74.91.26.218:82/live/vlldh.m3u8
成龙,http://74.91.26.218:82/live/vlcl.m3u8
国产喜剧,http://74.91.26.218:82/live/vlxjyy.m3u8
爱情公寓,http://74.91.26.218:82/live/vlaqgy.m3u8
陈翔六点半,http://live.chinacert.cftest5.cn/huya/11274154
陈翔六点半,http://63.141.230.178/live/hycxldb.m3u8
港台,#genre#
凤凰中文,http://cdn6.163189.xyz/163189/fhzw
凤凰中文,http://rihou.cc:555/tv/[Pd]凤凰中文
凤凰中文,http://r.jdshipin.com/cCCzW
凤凰资讯,http://cdn6.163189.xyz/163189/fhzx
凤凰资讯,http://rihou.cc:555/tv/[Pd]凤凰资讯
凤凰资讯,http://r.jdshipin.com/0Rp07
凤凰香港台,http://cdn6.163189.xyz/163189/fhhk
凤凰香港台,http://rihou.cc:555/tv/[Pd]凤凰香港
凤凰香港台,http://r.jdshipin.com/yDoTN
凤凰中文,https://php.jdshipin.com:2096/TVOD/iptv.php?id=fhzw
凤凰中文,http://api.kkhk.itv888.vip:8080/streams/vny1wblsnch/index.m3u8
凤凰中文,http://iptv.4666888.xyz/iptv2A.php?id=27
凤凰资讯,https://php.jdshipin.com:2096/TVOD/iptv.php?id=fhzx
凤凰资讯,http://api.kkhk.itv888.vip:8080/streams/wzt3qbit80m/index.m3u8
凤凰资讯,https://php.jdshipin.com:2096/TVOD/iptv.php?id=fhzx2
凤凰香港台,https://php.jdshipin.com:2096/TVOD/iptv.php?id=fhhk
凤凰香港台,http://api.kkhk.itv888.vip:8080/streams/mty4v56ud39/index.m3u8
TVB星河,https://cdn10.163189.xyz/stream/163189/xinghe/
TVB星河,http://r.jdshipin.com/sXuuD
TVB星河,https://php.jdshipin.com:2096/TVOD/iptv.php?id=xinghe
TVB星河1,https://o11.163189.xyz/stream/live/tvbxh/
香港卫视,http://webcast.hkstv.tv/livestream/mutfysrq/playlist.m3u8
亚太卫视,http://play2.one-tv.com/live/onetv.m3u8
欧洲华文,http://oh.eztv.vip/live/eztv1.m3u8
AEC,https://o11.163189.xyz/stream/live/aec/
AOD,https://o11.163189.xyz/stream/live/aod/
欢喜台,http://o11.163189.xyz/stream/live/hxt/
CH8,http://cdn6.163189.xyz/163189/ch8
CH8,http://rihou.cc:555/tv/[Pd]CH8综合
CHU,http://cdn6.163189.xyz/163189/chu
CHU,http://rihou.cc:555/tv/[Pd]CHU综合
八度空间,http://cdn6.163189.xyz/163189/8tv
八度空间,http://rihou.cc:555/tv/[Pd]八度空间
澳视澳门,http://cdn6.163189.xyz/163189/asam
澳视澳门,http://rihou.cc:555/tv/[Pd]澳视澳门
澳视澳门,http://iptv.4666888.xyz/iptv2A.php?id=41
澳视澳门,http://r.jdshipin.com/n2YZI
澳视澳门,https://php.jdshipin.com:2096/TVOD/iptv.php?id=asam
澳门莲花,http://cdn6.163189.xyz/163189/amlh
中视,http://165.154.226.214:50007/of-4gtv-4gtv040/index.m3u8?proxy=true
中视,http://60.250.73.148:8881/0.ts
中视,rtmp://59.124.75.138/sat/tv091
华视,rtmp://59.124.75.138/sat/tv111
台视,rtmp://59.124.75.138/sat/tv071
民视,rtmp://59.124.75.138/sat/tv051
民视,http://iptv.4666888.xyz/iptv2A.php?id=55
民视综艺,http://iptv.4666888.xyz/iptv2A.php?id=46
民视影剧粤,http://iptv.4666888.xyz/iptv2A.php?id=53
MOMO综合,rtmp://59.124.75.138/sat/tv761
东森超视,rtmp://59.124.75.138/sat/tv331
纬来音乐,rtmp://59.124.75.138/sat/tv701
纬来精采,rtmp://59.124.75.138/sat/md021
纬来体育,rtmp://59.124.75.138/sat/tv721
纬来日本,rtmp://59.124.75.138/sat/tv771
中天新闻,http://165.154.226.214:50007/of-4gtv-4gtv009/index.m3u8?proxy=true
镜新闻,https://d36dgdk71xuzzg.cloudfront.net/v1/manifest/3a2ac8e6b6c76471996ebf627393d9c9417a60b6/linetv-6-627778910172-MediaTailor-production/c9b2313d-efdd-4777-9fae-573be8a86755/0.m3u8
镜新闻,http://rihou.cc:555/tv/[Hk]闽镜新闻
TVBS新闻,http://iptv.4666888.xyz/iptv2A.php?id=43
TVBS新闻,http://rihou.cc:555/tv/[FY]tvbS新闻
TVBS新闻,http://iiptv.xyz/IP6CS.php?id=tvbsyz
TVBS精采,http://iptv.4666888.xyz/iptv2A.php?id=47
寰宇新闻,http://165.154.226.214:50007/of-litv-longturn14/index.m3u8?proxy=true
寰宇新闻台湾,http://165.154.226.214:50007/of-4gtv-4gtv156/index.m3u8?proxy=true
寰宇财经,http://165.154.226.214:50007/of-4gtv-4gtv158/index.m3u8?proxy=true
智林体育,http://iptv.4666888.xyz/iptv2A.php?id=5
爱尔达体育1,rtmp://59.124.75.138/sat/md011
韩流美食料理秀,http://iptv.4666888.xyz/iptv2A.php?id=63
添加,#genre#
河北4K,https://event.pull.hebtv.com:443/live/live101.m3u8
河北4K,http://106.53.99.30/tv/api.php?id=hebtv4k
苏州4K,https://tylive.kan0512.com/norecord/csztv4k_4k.m3u8
苏州4K,http://106.53.99.30/tv/api.php?id=sztv4k
CCTV8K,http://107.150.60.122/live/cctv8k.m3u8
CCTV8K,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv8k
CCTV8K,http://38.75.136.137:98/gslb/dsdqpub/cctv8k.m3u8?auth=testpub
CCTV16,http://107.150.60.122/live/cctv16hd.m3u8
CCTV16,http://69.30.246.194/live/cctv16.m3u8
CCTV16,http://63.141.230.178/live/cctv16hd.m3u8
CCTV16,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv16hd
CCTV16,http://38.75.136.137:98/gslb/dsdqbv/cctv16hd.m3u8?auth=test20251009
CCTV16,http://74.91.26.218:82/live/cctv16hd.m3u8
兵团卫视,http://125.40.199.223:8092/hls/51/index.m3u8
延边卫视,https://srs.iyb983.cn/video/CYS/index.m3u8
三沙卫视,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=ssws
三沙卫视,http://38.75.136.137:98/gslb/dsdqpub/ssws.m3u8?auth=testpub
三沙卫视,https://srs.ssws.tv/video/sstv-10/index.m3u8
三沙卫视,http://123.207.224.130:123/hainan/hainan.php?id=ssws
三沙卫视,http://nn.7x9d.cn/地方台8563/海南.php?id=ssws
南国都市,http://tencentplaygzrb01.gztv.com/live/nanguodushi.m3u8
南国都市,http://rihou.cc:555/tv/[Cx]广州南国
象视界,http://1.94.31.214/php/hntv.php?id=xsj
中国天气,http://120.226.246.71:9901/tsfile/live/1022_1.m3u8
乡野,https://isus.cc/php/huya.php?id=21969336
TV BRICS Chinese,https://chibrics.mediacdn.ru/cdn/brics/chinese/playlist.m3u8
Love Nature,https://aegis-cloudfront-1.tubi.video/6d6d0f24-8445-4b4c-bdf6-44f9e38beaa4/playlist.m3u8
Wild Earth,https://wildearth-plex.amagi.tv/masterR1080p.m3u8
红牛运动,http://rbmn-live.akamaized.net/hls/live/590964/BoRB-AT/master_6660.m3u8
天元围棋,http://63.141.230.178/live/gztywq.m3u8
天元围棋,http://38.75.136.137:98/gslb/dsdqpub/gztywq.m3u8?auth=testpub
碎片记,http://live.nctv.top/douyu1.php?id=9412981
宇宙视界,http://live.nctv.top/douyu1.php?id=9498354
宇宙探索,http://live.nctv.top/douyu1.php?id=9456028
CCTV世界地理,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=sjdl
CCTV世界地理,http://38.75.136.137:98/gslb/dsdqpub/sjdl.m3u8?auth=testpub
CCTV兵器科技,http://38.75.136.137:98/gslb/dsdqpub/gfjs.m3u8?auth=testpub
CCTV第一剧场,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=dyjc
CCTV第一剧场,http://38.75.136.137:98/gslb/dsdqpub/dyjc.m3u8?auth=testpub
CCTV风云剧场,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=fyjc
CCTV风云剧场,http://38.75.136.137:98/gslb/dsdqpub/fyjc.m3u8?auth=testpub
CCTV怀旧剧场,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=hjjc
CCTV怀旧剧场,http://38.75.136.137:98/gslb/dsdqpub/hjjc.m3u8?auth=testpub
CCTV风云音乐,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=fyyy
CCTV风云音乐,http://38.75.136.137:98/gslb/dsdqpub/fyyy.m3u8?auth=testpub
CCTV文化精品,http://107.150.60.122/live/ysjp.m3u8
CCTV文化精品,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=ysjp
CCTV女性时尚,http://63.141.230.178/live/nxss.m3u8
CCTV女性时尚,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=nxss
CCTV女性时尚,http://38.75.136.137:98/gslb/dsdqpub/nxss.m3u8?auth=testpub
CCTV卫生健康,http://107.150.60.122/live/wsjk.m3u8
CCTV卫生健康,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=wsjk
CCTV卫生健康,http://38.75.136.137:98/gslb/dsdqpub/wsjk.m3u8?auth=testpub
CCTV风云足球,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=fyzq
CCTV风云足球,http://38.75.136.137:98/gslb/dsdqpub/fyzq.m3u8?auth=testpub
CCTV央视台球,http://63.141.230.178/live/ystq.m3u8
CCTV央视台球,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=ystq
CCTV央视台球,http://38.75.136.137:98/gslb/dsdqpub/ystq.m3u8?auth=testpub
CCTV高尔夫网球,http://38.75.136.137:98/gslb/dsdqpub/gefwq.m3u8?auth=testpub
CCTV电视指南,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=dszn
CCTV电视指南,http://38.75.136.137:98/gslb/dsdqpub/dszn.m3u8?auth=testpub
晴彩青少,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000020000011525
晴彩竞技,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000020000011528
晴彩篮球,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000020000011529
晴彩广场舞,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000020000011523
至臻视界4K,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000010000015686
咪视界4K,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000010000005180
web,#genre#,SC=1
CCTV16,webview://https://yangshipin.cn/tv/home?pid=600098637
CCTV16,webview://https://tv.cctv.com/live/cctv16/
CCTV16,webview://https://app.cctv.com/special/m/livevod/index.html?vtype=1&channel=cctv16
CCTV4欧洲,webview://https://tv.cctv.com/live/cctveurope/
CCTV4美洲,webview://https://tv.cctv.com/live/cctvamerica/
CCTV4欧洲,webview://https://app.cctv.com/special/m/livevod/index.html?vtype=1&channel=cctveurope
CCTV4美洲,webview://https://app.cctv.com/special/m/livevod/index.html?vtype=1&channel=cctvamerica
CCTV8K,webview://https://yangshipin.cn/tv/home?pid=600156816
CCTV16K,webview://https://yangshipin.cn/tv/home?pid=600099502
宁夏卫视,webview://https://yangshipin.cn/tv/home?pid=600190737
内蒙古卫视,webview://https://www.nmtv.cn/liveTv
内蒙古卫视,webview://https://yangshipin.cn/tv/home?pid=600190401
江苏综艺,webview://https://live.jstv.com/?channelId=663
江苏影视,webview://https://live.jstv.com/?channelId=664
江苏城市,webview://https://live.jstv.com/?channelId=669
江苏新闻,webview://https://live.jstv.com/?channelId=668
江苏教育,webview://https://live.jstv.com/?channelId=666
江苏体育休闲,webview://https://live.jstv.com/?channelId=665
江苏国际,webview://https://live.jstv.com/?channelId=671
广西综艺,webview://https://tv.gxtv.cn/channel/channelivePlay_f3335975f9fe11e88bcfe41f13b60c62.html
广西影视,webview://https://tv.gxtv.cn/channel/channelivePlay_5e923d82058e11e9ba67e41f13b60c62.html
广西都市,webview://https://tv.gxtv.cn/channel/channelivePlay_fdbaf085f9fe11e88bcfe41f13b60c62.html
广西新闻,webview://https://tv.gxtv.cn/channel/channelivePlay_9dfd8600075811e9ba67e41f13b60c62.html
广西国际,webview://https://tv.gxtv.cn/channel/channelivePlay_bfa17b64157f11e999f0e41f13b60c62.html
浙江教科影视,webview://https://www.cztv.com/liveTV/104
看东方,webview://https://live.kankanews.com/huikan?id=12
第一财经,webview://https://live.kankanews.com/huikan?id=5
点掌财经,webview://https://www.aniu.tv/
优漫卡通,webview://https://live.jstv.com/?channelId=667
山东少儿,webview://https://v.iqilu.com/live/sepd/
浙江少儿,webview://https://www.cztv.com/liveTV/108
CCTV风云剧场,webview://https://yangshipin.cn/tv/home?pid=600099658
CCTV第一剧场,webview://https://yangshipin.cn/tv/home?pid=600099655
CCTV怀旧剧场,webview://https://yangshipin.cn/tv/home?pid=600099620
1905电影网,webview://https://m.1905.com/m/xl/live/
测试,#genre#
翡翠台,http://74.91.26.218:82/live/jade.m3u8
TVB plus,http://74.91.26.218:82/live/j2.m3u8
TVB千禧经典,http://74.91.26.218:82/live/tvbjd.m3u8
台视财经,http://74.91.26.218:82/live/ttvcj.m3u8
华视HD,http://74.91.26.218:82/live/cts.m3u8
华视教育体育文化,http://74.91.26.218:82/live/ctsjy.m3u8
中视HD,http://74.91.26.218:82/live/ctv.m3u8
中视经典,http://74.91.26.218:82/live/ctvjd.m3u8
中视菁采,http://74.91.26.218:82/live/ctvjc.m3u8
公视,http://74.91.26.218:82/live/pts.m3u8
